sl_no,product_name,processor,ram,storage,display,gpu,os,weight,color,current_price,mrp,rating,link
172,ASUS Vivobook Go 14,AMD Ryzen 3 7320U,8GB RAM,512GB SSD,"14"" FHD",AMD Radeon iGPU,Windows 11,1.38 kg,Mixed Black,34990.0,43990.0,4.1,https://www.amazon.in/ASUS-Vivobook-Radeon-Windows-E1404FA-NK3325WS/dp/B0DTYNRVRX/ref=sr_1_13?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.iJp8R7gqt4fVOO2KavWAJtwCp0Y3dizsnzOzlwaf-6Y&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-13&xpid=vjzpPUSu4zLUM
173,Primebook 2 Max 2025,MediaTek Helio G99,8GB RAM,256GB UFS,15.6-Inch Full HD IPS,,Android 15,,Gray,22990.0,34990.0,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI4ODM2NTE0MzQyNTcxOjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDcwNjM5MjAxMDAzMjo6MDo6&url=%2FPrimebook-Storage-15-6-Inch-MediaTek-Keyboard%2Fdp%2FB0FFMQB3KL%2Fref%3Dsxin_24_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FFMQB3KL%26pd_rd_r%3D5bb54fd9-74d5-4312-bdfd-1355a841639c%26pd_rd_w%3Dc7Frt%26pd_rd_wg%3D0457w%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D44J076202M4ZKV4H45WD%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DzUANlRM61Y%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=zUANlRM61Y&sp_cr=ZAZ
174,HP OmniBook 5 OLED,Snapdragon X Processor,16GB LPDDR5x,512GB SSD,14'' 2K,,Win11,1.35kg,Silver,66020.0,83704.0,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI4ODM2NTE0MzQyNTcxOjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDkwMDY5NDE0ODUzMjo6MTo6&url=%2FHP-Previously-Snapdragon-Processor-Light-Weight%2Fdp%2FB0F8P4Y7VF%2Fref%3Dsxin_24_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0F8P4Y7VF%26pd_rd_r%3D5bb54fd9-74d5-4312-bdfd-1355a841639c%26pd_rd_w%3Dc7Frt%26pd_rd_wg%3D0457w%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D44J076202M4ZKV4H45WD%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DZDXWmKYaWQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=ZDXWmKYaWQ&sp_cr=ZAZ
175,Primebook 2 Neo 2025,MediaTek Helio G99,6GB RAM,128GB,11.6”,,Android 15,,,15990.0,24990.0,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI4ODM2NTE0MzQyNTcxOjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDYyMTQ2MTg5MTEzMjo6Mjo6&url=%2FPrimebook-Upgradable-MediaTek-G99-PrimeOS3-0%2Fdp%2FB0FDLB7BQZ%2Fref%3Dsxin_24_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FDLB7BQZ%26pd_rd_r%3D5bb54fd9-74d5-4312-bdfd-1355a841639c%26pd_rd_w%3Dc7Frt%26pd_rd_wg%3D0457w%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D44J076202M4ZKV4H45WD%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DE8O8DLTkwq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=E8O8DLTkwq&sp_cr=ZAZ
176,HP Omnibook 5 OLED,Snapdragon X Processor,16GB LPDDR5x,1TB SSD,16'' 2K OLED,,Win11,1.59kg,Glacier Silver,71340.0,85965.0,4.1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI4ODM2NTE0MzQyNTcxOjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDkwMDY5NDE0ODYzMjo6Mzo6&url=%2FHP-Snapdragon-Processor-Micro-Edge-fb0001QU%2Fdp%2FB0FRM3G9JF%2Fref%3Dsxin_24_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FRM3G9JF%26pd_rd_r%3D5bb54fd9-74d5-4312-bdfd-1355a841639c%26pd_rd_w%3Dc7Frt%26pd_rd_wg%3D0457w%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D44J076202M4ZKV4H45WD%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3Dt3IlMZ5VyW%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=t3IlMZ5VyW&sp_cr=ZAZ
177,Primebook 2 Pro 2025,MediaTek Helio G99,8GB RAM,128GB UFS,14.1-Inch FHD IPS,,Android 15,,Aqua,19990.0,29990.0,4.4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI4ODM2NTE0MzQyNTcxOjE3NzA5MTk2Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDgyMzcxOTI4MTIzMjo6NDo6&url=%2FPrimebook-Storage-14-1-Inch-MediaTek-Keyboard%2Fdp%2FB0FZJNZS65%2Fref%3Dsxin_24_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26crid%3D3NW6BLF8383HH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0FZJNZS65%26pd_rd_r%3D5bb54fd9-74d5-4312-bdfd-1355a841639c%26pd_rd_w%3Dc7Frt%26pd_rd_wg%3D0457w%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3D44J076202M4ZKV4H45WD%26qid%3D1770919668%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlapt%252Caps%252C463%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DvjzpPUSu4zLUM%26aref%3DtjigWtyJ9a%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=tjigWtyJ9a&sp_cr=ZAZ
178,HP Omnibook 5 OLED,Snapdragon X Processor,16GB LPDDR5x,1TB SSD,16'' 2K OLED,,Win11,1.59kg,Glacier Silver,71340.0,85965.0,4.1,https://www.amazon.in/HP-Snapdragon-Processor-Micro-Edge-fb0001QU/dp/B0FRM3G9JF/ref=sr_1_14?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.iJp8R7gqt4fVOO2KavWAJtwCp0Y3dizsnzOzlwaf-6Y&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-14&xpid=vjzpPUSu4zLUM
179,HP 15,Intel Core i3-1315U,12GB DDR4,512GB SSD,15.6'' FHD,,Win11,1.59kg,Silver,41990.0,52721.0,4.1,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_15?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.iJp8R7gqt4fVOO2KavWAJtwCp0Y3dizsnzOzlwaf-6Y&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-15&xpid=vjzpPUSu4zLUM
180,acer Aspire 3,Intel Core Celeron N4500,12GB LPDDR4X RAM,512GB SSD,"15.6"" HD",,Windows 11 Home,1.5KG,Pure Silver,31999.0,35999.0,3.4,https://www.amazon.in/Celeron-LPDDR4X-39-62cm-Windows-A325-45/dp/B0FF4QBNWM/ref=sr_1_16?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.iJp8R7gqt4fVOO2KavWAJtwCp0Y3dizsnzOzlwaf-6Y&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-16&xpid=vjzpPUSu4zLUM
181,Thomson NEO 14.1 Inch IN-P14C,Intel Celeron Dual Core N4020 Processor,8 GB DDR4,256 GB SSD,14.1 Inch,,Window 11,,Silver,14990.0,27990.0,3.0,https://www.amazon.in/Thomson-Window-Notebook-Numeric-Webcam/dp/B0DYVR777M/ref=sr_1_17?crid=3NW6BLF8383HH&dib=eyJ2IjoiMSJ9.LvRYcMXe0gyflLpcoiYNjDQGiwtKVW-phB8l2zfUs6F2K8IB0k81FtY8l46ljuBNJJBQaPO6y6rlhRWd_3V_lCEgKf5RQeuOq-UVQsRKiVXAANlMHe5aNFzSLe0ovkdCHiLPBcp5CEOO4wajlYzJ4KAqCQDLgxRcAi9T5UdBiErRkIMipXQ6wsaFhEoB6CsvD5SO2L4TJM5otxdR0SGTVLyePvIPOfn0f6I6Lw62NK8.iJp8R7gqt4fVOO2KavWAJtwCp0Y3dizsnzOzlwaf-6Y&dib_tag=se&keywords=laptop&qid=1770919668&sprefix=lapt%2Caps%2C463&sr=8-17&xpid=vjzpPUSu4zLUM
